Interaction Type	oln_id_a	oln_id_b
Protein-Protein Interaction	YMR080C	YGR072W
Protein-Protein Interaction	YMR080C	YHR170W
Protein-Protein Interaction	YMR108W	YCL009C
Protein-Protein Interaction	YMR109W	YJL020C
Protein-Protein Interaction	YMR117C	YDR486C
Protein-Protein Interaction	YMR139W	YDR207C
Protein-Protein Interaction	YMR140W	YDR092W
Protein-Protein Interaction	YMR149W	YEL002C
Protein-Protein Interaction	YMR159C	YBR217W
Protein-Protein Interaction	YMR182C	YMR109W
Protein-Protein Interaction	YMR167W	YDR097C
Protein-Protein Interaction	YMR190C	YBR114W
Protein-Protein Interaction	YMR197C	YDR468C
Protein-Protein Interaction	YMR202W	YER044C
Protein-Protein Interaction	YMR203W	YHR083W
Protein-Protein Interaction	YMR213W	YLL036C
Protein-Protein Interaction	YMR218C	YDR472W
Protein-Protein Interaction	YMR233W	YDR510W
Protein-Protein Interaction	YMR218C	YML077W
Protein-Protein Interaction	YMR227C	YGR274C
Protein-Protein Interaction	YMR231W	YLR396C
Protein-Protein Interaction	YMR236W	YHR099W
Protein-Protein Interaction	YMR237W	YKR027W
Protein-Protein Interaction	YMR273C	YMR255W
Protein-Protein Interaction	YMR276W	YIL148W
Protein-Protein Interaction	YMR309C	YBR079C
Protein-Protein Interaction	YMR309C	YMR146C
Protein-Protein Interaction	YMR311C	YER133W
Protein-Protein Interaction	YMR314W	YER012W
Protein-Protein Interaction	YNL047C	YLR433C
Protein-Protein Interaction	YNL053W	YGR040W
Protein-Protein Interaction	YNL053W	YBL016W
Protein-Protein Interaction	YNL064C	YAL005C
Protein-Protein Interaction	YNL075W	YDL220C
Protein-Protein Interaction	YNL102W	YDL220C
Protein-Protein Interaction	YNL103W	YIL046W
Protein-Protein Interaction	YNL107W	YJR082C
Protein-Protein Interaction	YNL118C	YMR080C
Protein-Protein Interaction	YNL121C	YMR203W
Protein-Protein Interaction	YNL131W	YNL121C
Protein-Protein Interaction	YNL135C	YDR174W
Protein-Protein Interaction	YNL131W	YMR203W
Protein-Protein Interaction	YNL138W	YJL005W
Protein-Protein Interaction	YNL153C	YGR078C
Protein-Protein Interaction	YNL172W	YKL022C
Protein-Protein Interaction	YNL167C	YLR113W
Protein-Protein Interaction	YNL189W	YKL068W
Protein-Protein Interaction	YNL189W	YMR239C
Protein-Protein Interaction	YNL214W	YGL153W
Protein-Protein Interaction	YNL223W	YBL078C
Protein-Protein Interaction	YNL238W	YBL007C
Protein-Protein Interaction	YNL234W	YBR274W
Protein-Protein Interaction	YNL250W	YMR224C
Protein-Protein Interaction	YNL262W	YIR008C
Protein-Protein Interaction	YNL255C	YER112W
Protein-Protein Interaction	YNL261W	YBR060C
Protein-Protein Interaction	YNL263C	YFL038C
Protein-Protein Interaction	YNL283C	YGL077C
Protein-Protein Interaction	YNL290W	YMR078C
Protein-Protein Interaction	YNL298W	YLR229C
Protein-Protein Interaction	YNL307C	YGR140W
Protein-Protein Interaction	YNL308C	YCL059C
Protein-Protein Interaction	YNL311C	YDR328C
Protein-Protein Interaction	YNL317W	YMR061W
Protein-Protein Interaction	YNL329C	YGL153W
Protein-Protein Interaction	YNL330C	YBR112C
Protein-Protein Interaction	YNR017W	YHR005C-A
Protein-Protein Interaction	YNR017W	YIL022W
Protein-Protein Interaction	YNR017W	YJL143W
Protein-Protein Interaction	YNR017W	YML054C
Protein-Protein Interaction	YNR031C	YJL128C
Protein-Protein Interaction	YNR035C	YBR234C
Protein-Protein Interaction	YNR035C	YJR065C
Protein-Protein Interaction	YNR046W	YDR140W
Protein-Protein Interaction	YOL012C	YNL030W
Protein-Protein Interaction	YOL021C	YNL232W
Protein-Protein Interaction	YOL034W	YDL105W
Protein-Protein Interaction	YOL021C	YDR280W
Protein-Protein Interaction	YOL051W	YBL093C
Protein-Protein Interaction	YOL051W	YGL025C
Protein-Protein Interaction	YOL061W	YER099C
Protein-Protein Interaction	YOL051W	YNL236W
Protein-Protein Interaction	YOL069W	YBR211C
Protein-Protein Interaction	YOL069W	YER018C
Protein-Protein Interaction	YOL115W	YNL251C
Protein-Protein Interaction	YOL127W	YHR197W
Protein-Protein Interaction	YOL133W	YDL132W
Protein-Protein Interaction	YOL133W	YFL009W
Protein-Protein Interaction	YOL135C	YOL051W
