Interaction Type	oln_id_a	oln_id_b
Protein-Protein Interaction	YMR004W	YFR024C-A
Protein-Protein Interaction	YMR004W	YIL030C
Protein-Protein Interaction	YMR004W	YJL154C
Protein-Protein Interaction	YMR004W	YJR017C
Protein-Protein Interaction	YMR004W	YKL012W
Protein-Protein Interaction	YMR004W	YKL117W
Protein-Protein Interaction	YMR004W	YLR452C
Protein-Protein Interaction	YMR005W	YBR160W
Protein-Protein Interaction	YMR005W	YCR042C
Protein-Protein Interaction	YMR005W	YDR145W
Protein-Protein Interaction	YMR047C	YJL061W
Protein-Protein Interaction	YMR005W	YDR167W
Protein-Protein Interaction	YMR005W	YER148W
Protein-Protein Interaction	YMR005W	YGL112C
Protein-Protein Interaction	YMR032W	YIL106W
Protein-Protein Interaction	YMR005W	YML015C
Protein-Protein Interaction	YMR005W	YML098W
Protein-Protein Interaction	YMR010W	YBL017C
Protein-Protein Interaction	YMR010W	YDR100W
Protein-Protein Interaction	YMR010W	YKL004W
Protein-Protein Interaction	YMR012W	YBL039C
Protein-Protein Interaction	YMR012W	YBR017C
Protein-Protein Interaction	YMR012W	YDR429C
Protein-Protein Interaction	YMR012W	YGR252W
Protein-Protein Interaction	YMR012W	YHR019C
Protein-Protein Interaction	YMR012W	YJL144W
Protein-Protein Interaction	YMR012W	YLR180W
Protein-Protein Interaction	YMR015C	YHR007C
Protein-Protein Interaction	YMR015C	YLR100W
Protein-Protein Interaction	YMR016C	YER013W
Protein-Protein Interaction	YMR019W	YCL029C
Protein-Protein Interaction	YMR022W	YEL012W
Protein-Protein Interaction	YMR022W	YER100W
Protein-Protein Interaction	YMR022W	YIL030C
Protein-Protein Interaction	YMR022W	YLL039C
Protein-Protein Interaction	YMR022W	YLR450W
Protein-Protein Interaction	YMR023C	YGL236C
Protein-Protein Interaction	YMR024W	YDR405W
Protein-Protein Interaction	YMR079W	YHR076W
Protein-Protein Interaction	YMR025W	YDL147W
Protein-Protein Interaction	YMR025W	YDL216C
Protein-Protein Interaction	YMR025W	YDR179C
Protein-Protein Interaction	YMR025W	YIL071C
Protein-Protein Interaction	YMR025W	YJR084W
Protein-Protein Interaction	YMR026C	YDL065C
Protein-Protein Interaction	YMR026C	YDR244W
Protein-Protein Interaction	YMR026C	YGL153W
Protein-Protein Interaction	YMR026C	YGR077C
Protein-Protein Interaction	YMR026C	YJL210W
Protein-Protein Interaction	YMR027W	YHR039C-A
Protein-Protein Interaction	YMR028W	YDL047W
Protein-Protein Interaction	YMR028W	YDL134C
Protein-Protein Interaction	YMR043W	YCR096C
Protein-Protein Interaction	YMR028W	YDL188C
Protein-Protein Interaction	YMR028W	YDR075W
Protein-Protein Interaction	YMR028W	YHR186C
Protein-Protein Interaction	YMR028W	YIL153W
Protein-Protein Interaction	YMR028W	YJR066W
Protein-Protein Interaction	YMR028W	YKL203C
Protein-Protein Interaction	YMR029C	YFR008W
Protein-Protein Interaction	YMR029C	YJL082W
Protein-Protein Interaction	YMR031C	YGR086C
Protein-Protein Interaction	YMR031C	YGR130C
Protein-Protein Interaction	YMR032W	YCL008C
Protein-Protein Interaction	YMR032W	YCR002C
Protein-Protein Interaction	YMR032W	YDR178W
Protein-Protein Interaction	YMR032W	YDR409W
Protein-Protein Interaction	YMR032W	YER047C
Protein-Protein Interaction	YMR032W	YER118C
Protein-Protein Interaction	YMR032W	YER144C
Protein-Protein Interaction	YMR032W	YGL060W
Protein-Protein Interaction	YMR032W	YGL099W
Protein-Protein Interaction	YMR032W	YGR092W
Protein-Protein Interaction	YMR032W	YHL027W
Protein-Protein Interaction	YMR032W	YHR107C
Protein-Protein Interaction	YMR032W	YIL156W
Protein-Protein Interaction	YMR032W	YIL159W
Protein-Protein Interaction	YMR032W	YJR076C
Protein-Protein Interaction	YMR032W	YJR090C
Protein-Protein Interaction	YMR032W	YJR092W
Protein-Protein Interaction	YMR032W	YLR337C
Protein-Protein Interaction	YMR032W	YMR001C
Protein-Protein Interaction	YMR033W	YBL006C
Protein-Protein Interaction	YMR033W	YBR009C
Protein-Protein Interaction	YMR033W	YBR010W
Protein-Protein Interaction	YMR033W	YBR289W
Protein-Protein Interaction	YMR033W	YCR052W
Protein-Protein Interaction	YMR033W	YDR303C
Protein-Protein Interaction	YMR033W	YFR037C
Protein-Protein Interaction	YMR033W	YGR056W
Protein-Protein Interaction	YMR033W	YGR275W
Protein-Protein Interaction	YMR033W	YHL025W
Protein-Protein Interaction	YMR033W	YIL126W
Protein-Protein Interaction	YMR033W	YJL176C
Protein-Protein Interaction	YMR033W	YKR008W
Protein-Protein Interaction	YMR033W	YLR033W
Protein-Protein Interaction	YMR033W	YLR357W
Protein-Protein Interaction	YMR036C	YBR160W
Protein-Protein Interaction	YMR036C	YMR001C
Protein-Protein Interaction	YMR037C	YBR173C
Protein-Protein Interaction	YMR037C	YMR016C
Protein-Protein Interaction	YMR038C	YJR104C
Protein-Protein Interaction	YMR038C	YKL195W
Protein-Protein Interaction	YMR039C	YAL043C
Protein-Protein Interaction	YMR039C	YML010W
Protein-Protein Interaction	YMR041C	YER125W
Protein-Protein Interaction	YMR041C	YIL030C
Protein-Protein Interaction	YMR042W	YDR173C
Protein-Protein Interaction	YMR042W	YML099C
Protein-Protein Interaction	YMR043W	YCL066W
Protein-Protein Interaction	YMR043W	YCL067C
Protein-Protein Interaction	YMR043W	YCR039C
Protein-Protein Interaction	YMR043W	YDR173C
Protein-Protein Interaction	YMR043W	YHR084W
Protein-Protein Interaction	YMR043W	YIL103W
Protein-Protein Interaction	YMR043W	YLR082C
Protein-Protein Interaction	YMR043W	YML027W
Protein-Protein Interaction	YMR043W	YML099C
Protein-Protein Interaction	YMR043W	YMR042W
Protein-Protein Interaction	YMR044W	YBR010W
Protein-Protein Interaction	YMR044W	YBR245C
Protein-Protein Interaction	YMR044W	YLR095C
Protein-Protein Interaction	YMR047C	YAL047C
Protein-Protein Interaction	YMR047C	YAR002W
Protein-Protein Interaction	YMR047C	YAR066W
Protein-Protein Interaction	YMR047C	YBL045C
Protein-Protein Interaction	YMR047C	YBL072C
Protein-Protein Interaction	YMR047C	YBL079W
Protein-Protein Interaction	YMR047C	YBR008C
Protein-Protein Interaction	YMR047C	YBR017C
Protein-Protein Interaction	YMR047C	YBR301W
Protein-Protein Interaction	YMR047C	YCL039W
Protein-Protein Interaction	YMR047C	YDL088C
Protein-Protein Interaction	YMR047C	YDL116W
Protein-Protein Interaction	YMR047C	YDL207W
Protein-Protein Interaction	YMR047C	YDL229W
Protein-Protein Interaction	YMR047C	YDR101C
Protein-Protein Interaction	YMR047C	YDR159W
Protein-Protein Interaction	YMR047C	YDR192C
Protein-Protein Interaction	YMR047C	YDR335W
Protein-Protein Interaction	YMR047C	YDR395W
Protein-Protein Interaction	YMR047C	YDR412W
Protein-Protein Interaction	YMR047C	YDR465C
Protein-Protein Interaction	YMR047C	YER081W
Protein-Protein Interaction	YMR047C	YER110C
Protein-Protein Interaction	YMR047C	YER165W
Protein-Protein Interaction	YMR047C	YFR002W
Protein-Protein Interaction	YMR047C	YGL016W
Protein-Protein Interaction	YMR047C	YGL092W
Protein-Protein Interaction	YMR047C	YGL100W
Protein-Protein Interaction	YMR047C	YGL170C
Protein-Protein Interaction	YMR047C	YGL172W
Protein-Protein Interaction	YMR047C	YGL215W
Protein-Protein Interaction	YMR047C	YGR056W
Protein-Protein Interaction	YMR047C	YGR119C
Protein-Protein Interaction	YMR047C	YGR128C
Protein-Protein Interaction	YMR047C	YGR218W
Protein-Protein Interaction	YMR047C	YHR214W
Protein-Protein Interaction	YMR047C	YIL115C
Protein-Protein Interaction	YMR052W	YLR238W
Protein-Protein Interaction	YMR047C	YJL039C
Protein-Protein Interaction	YMR047C	YJL041W
Protein-Protein Interaction	YMR047C	YJR042W
Protein-Protein Interaction	YMR047C	YJR134C
Protein-Protein Interaction	YMR047C	YKL057C
Protein-Protein Interaction	YMR047C	YKL186C
Protein-Protein Interaction	YMR047C	YKR082W
Protein-Protein Interaction	YMR047C	YLL024C
Protein-Protein Interaction	YMR047C	YLL026W
Protein-Protein Interaction	YMR047C	YLR175W
Protein-Protein Interaction	YMR047C	YLR335W
Protein-Protein Interaction	YMR047C	YLR347C
Protein-Protein Interaction	YMR047C	YLR397C
Protein-Protein Interaction	YMR047C	YML103C
Protein-Protein Interaction	YMR048W	YBL023C
Protein-Protein Interaction	YMR048W	YCL061C
Protein-Protein Interaction	YMR048W	YDR489W
Protein-Protein Interaction	YMR049C	YDR060W
Protein-Protein Interaction	YMR049C	YER006W
Protein-Protein Interaction	YMR049C	YGL111W
Protein-Protein Interaction	YMR049C	YGL120C
Protein-Protein Interaction	YMR049C	YGR103W
Protein-Protein Interaction	YMR049C	YHR052W
Protein-Protein Interaction	YMR049C	YHR066W
Protein-Protein Interaction	YMR049C	YKL009W
Protein-Protein Interaction	YMR049C	YKL172W
Protein-Protein Interaction	YMR049C	YKR081C
Protein-Protein Interaction	YMR052W	YDR200C
Protein-Protein Interaction	YMR052W	YFR008W
Protein-Protein Interaction	YMR052W	YMR029C
Protein-Protein Interaction	YMR054W	YBR127C
Protein-Protein Interaction	YMR054W	YDL185W
Protein-Protein Interaction	YMR054W	YEL051W
Protein-Protein Interaction	YMR054W	YGR020C
Protein-Protein Interaction	YMR054W	YHR039C-A
Protein-Protein Interaction	YMR054W	YKL080W
Protein-Protein Interaction	YMR054W	YLR447C
Protein-Protein Interaction	YMR055C	YFR028C
Protein-Protein Interaction	YMR055C	YLR314C
Protein-Protein Interaction	YMR055C	YML064C
Protein-Protein Interaction	YMR059W	YAR008W
Protein-Protein Interaction	YMR059W	YLR105C
Protein-Protein Interaction	YMR060C	YAL010C
Protein-Protein Interaction	YMR060C	YHR083W
Protein-Protein Interaction	YMR061W	YAL043C
Protein-Protein Interaction	YMR061W	YDL140C
Protein-Protein Interaction	YMR061W	YDR195W
Protein-Protein Interaction	YMR061W	YDR301W
Protein-Protein Interaction	YMR061W	YGL044C
Protein-Protein Interaction	YMR094W	YDR328C
Protein-Protein Interaction	YMR061W	YGR104C
Protein-Protein Interaction	YMR061W	YGR156W
Protein-Protein Interaction	YMR061W	YJR093C
Protein-Protein Interaction	YMR061W	YML010W
Protein-Protein Interaction	YMR064W	YDR296W
Protein-Protein Interaction	YMR067C	YDL126C
Protein-Protein Interaction	YMR092C	YLL050C
Protein-Protein Interaction	YMR068W	YER064C
Protein-Protein Interaction	YMR068W	YFR024C-A
Protein-Protein Interaction	YMR068W	YHR016C
Protein-Protein Interaction	YMR068W	YIL105C
Protein-Protein Interaction	YMR068W	YKL203C
Protein-Protein Interaction	YMR069W	YHR005C
Protein-Protein Interaction	YMR071C	YAR014C
Protein-Protein Interaction	YMR071C	YDR100W
Protein-Protein Interaction	YMR072W	YBR245C
Protein-Protein Interaction	YMR072W	YBR289W
Protein-Protein Interaction	YMR072W	YCR052W
Protein-Protein Interaction	YMR072W	YDR224C
Protein-Protein Interaction	YMR072W	YDR225W
Protein-Protein Interaction	YMR072W	YDR303C
Protein-Protein Interaction	YMR072W	YER164W
Protein-Protein Interaction	YMR072W	YFL039C
Protein-Protein Interaction	YMR072W	YFR037C
Protein-Protein Interaction	YMR072W	YGL013C
Protein-Protein Interaction	YMR072W	YJL176C
Protein-Protein Interaction	YMR072W	YLR410W
Protein-Protein Interaction	YMR075W	YBR010W
Protein-Protein Interaction	YMR076C	YDL003W
Protein-Protein Interaction	YMR076C	YDR014W
Protein-Protein Interaction	YMR076C	YFL008W
Protein-Protein Interaction	YMR076C	YFR027W
Protein-Protein Interaction	YMR076C	YJL074C
Protein-Protein Interaction	YMR077C	YJR102C
Protein-Protein Interaction	YMR077C	YKL002W
Protein-Protein Interaction	YMR077C	YKL041W
Protein-Protein Interaction	YMR077C	YLR025W
Protein-Protein Interaction	YMR077C	YLR417W
Protein-Protein Interaction	YMR078C	YBR087W
Protein-Protein Interaction	YMR078C	YCL016C
Protein-Protein Interaction	YMR078C	YFR027W
Protein-Protein Interaction	YMR078C	YHR191C
Protein-Protein Interaction	YMR078C	YJR046W
Protein-Protein Interaction	YMR078C	YJR068W
Protein-Protein Interaction	YMR078C	YLL040C
Protein-Protein Interaction	YMR079W	YDR510W
Protein-Protein Interaction	YMR079W	YKL091C
Protein-Protein Interaction	YMR080C	YBR143C
Protein-Protein Interaction	YMR080C	YDR172W
Protein-Protein Interaction	YMR080C	YER165W
Protein-Protein Interaction	YMR080C	YHR077C
Protein-Protein Interaction	YMR080C	YJR132W
Protein-Protein Interaction	YMR080C	YKL068W
Protein-Protein Interaction	YMR080C	YLR363C
Protein-Protein Interaction	YMR080C	YMR047C
Protein-Protein Interaction	YMR086W	YGR130C
Protein-Protein Interaction	YMR089C	YGR132C
Protein-Protein Interaction	YMR089C	YHL002W
Protein-Protein Interaction	YMR091C	YAL005C
Protein-Protein Interaction	YMR091C	YBR009C
Protein-Protein Interaction	YMR091C	YCR020W-B
Protein-Protein Interaction	YMR091C	YCR052W
Protein-Protein Interaction	YMR091C	YDR303C
Protein-Protein Interaction	YMR091C	YFR037C
Protein-Protein Interaction	YMR109W	YBR109C
Protein-Protein Interaction	YMR091C	YGR056W
Protein-Protein Interaction	YMR091C	YGR275W
Protein-Protein Interaction	YMR091C	YHR056C
Protein-Protein Interaction	YMR091C	YIL126W
Protein-Protein Interaction	YMR091C	YKR008W
Protein-Protein Interaction	YMR091C	YLR033W
Protein-Protein Interaction	YMR091C	YLR321C
Protein-Protein Interaction	YMR091C	YLR357W
Protein-Protein Interaction	YMR091C	YML127W
Protein-Protein Interaction	YMR091C	YMR033W
Protein-Protein Interaction	YMR092C	YER125W
Protein-Protein Interaction	YMR092C	YIL030C
Protein-Protein Interaction	YMR109W	YIR006C
Protein-Protein Interaction	YMR092C	YKL012W
Protein-Protein Interaction	YMR093W	YDR398W
Protein-Protein Interaction	YMR093W	YGR128C
Protein-Protein Interaction	YMR093W	YHR196W
Protein-Protein Interaction	YMR093W	YJL109C
Protein-Protein Interaction	YMR093W	YJR002W
Protein-Protein Interaction	YMR094W	YGR140W
Protein-Protein Interaction	YMR094W	YJR060W
Protein-Protein Interaction	YMR095C	YFL059W
Protein-Protein Interaction	YMR098C	YMR064W
Protein-Protein Interaction	YMR099C	YJL208C
Protein-Protein Interaction	YMR099C	YKR079C
Protein-Protein Interaction	YMR100W	YGL058W
Protein-Protein Interaction	YMR100W	YIR010W
Protein-Protein Interaction	YMR100W	YLR024C
Protein-Protein Interaction	YMR102C	YKL117W
Protein-Protein Interaction	YMR104C	YKL126W
Protein-Protein Interaction	YMR104C	YKL203C
Protein-Protein Interaction	YMR106C	YAR007C
Protein-Protein Interaction	YMR106C	YDL156W
Protein-Protein Interaction	YMR106C	YDR227W
Protein-Protein Interaction	YMR106C	YDR510W
Protein-Protein Interaction	YMR106C	YLR265C
Protein-Protein Interaction	YMR112C	YBR253W
Protein-Protein Interaction	YMR109W	YBR234C
Protein-Protein Interaction	YMR109W	YCR088W
Protein-Protein Interaction	YMR109W	YDL019C
Protein-Protein Interaction	YMR109W	YDL029W
Protein-Protein Interaction	YMR109W	YDL146W
Protein-Protein Interaction	YMR109W	YDR132C
Protein-Protein Interaction	YMR109W	YDR388W
Protein-Protein Interaction	YMR109W	YDR466W
Protein-Protein Interaction	YMR109W	YER033C
Protein-Protein Interaction	YMR109W	YER047C
Protein-Protein Interaction	YMR109W	YFL039C
Protein-Protein Interaction	YMR109W	YGL099W
Protein-Protein Interaction	YMR109W	YGL190C
Protein-Protein Interaction	YMR109W	YGL197W
Protein-Protein Interaction	YMR109W	YGL242C
Protein-Protein Interaction	YMR109W	YGR078C
Protein-Protein Interaction	YMR109W	YHL007C
Protein-Protein Interaction	YMR109W	YHR114W
Protein-Protein Interaction	YMR109W	YIL062C
Protein-Protein Interaction	YMR109W	YIL156W
Protein-Protein Interaction	YMR109W	YIL159W
Protein-Protein Interaction	YMR109W	YIR003W
Protein-Protein Interaction	YMR109W	YJL095W
Protein-Protein Interaction	YMR109W	YJR065C
Protein-Protein Interaction	YMR109W	YKL013C
Protein-Protein Interaction	YMR109W	YKL097C
Protein-Protein Interaction	YMR109W	YKL129C
Protein-Protein Interaction	YMR109W	YLR144C
Protein-Protein Interaction	YMR109W	YLR370C
Protein-Protein Interaction	YMR133W	YER044C-A
Protein-Protein Interaction	YMR109W	YMR104C
Protein-Protein Interaction	YMR110C	YIL030C
Protein-Protein Interaction	YMR110C	YKL012W
Protein-Protein Interaction	YMR111C	YDL013W
Protein-Protein Interaction	YMR111C	YDR510W
Protein-Protein Interaction	YMR112C	YBR193C
Protein-Protein Interaction	YMR112C	YER022W
Protein-Protein Interaction	YMR112C	YER171W
Protein-Protein Interaction	YMR112C	YGR104C
Protein-Protein Interaction	YMR112C	YLR071C
Protein-Protein Interaction	YMR116C	YJL005W
Protein-Protein Interaction	YMR116C	YJL080C
Protein-Protein Interaction	YMR117C	YAL034W-A
Protein-Protein Interaction	YMR117C	YCR073C
Protein-Protein Interaction	YMR117C	YDL028C
Protein-Protein Interaction	YMR117C	YDR104C
Protein-Protein Interaction	YMR117C	YDR318W
Protein-Protein Interaction	YMR117C	YDR356W
Protein-Protein Interaction	YMR117C	YDR510W
Protein-Protein Interaction	YMR117C	YER018C
Protein-Protein Interaction	YMR117C	YER032W
Protein-Protein Interaction	YMR117C	YFR046C
Protein-Protein Interaction	YMR117C	YGL075C
Protein-Protein Interaction	YMR117C	YGL093W
Protein-Protein Interaction	YMR117C	YGL197W
Protein-Protein Interaction	YMR117C	YIL144W
Protein-Protein Interaction	YMR117C	YIR010W
Protein-Protein Interaction	YMR117C	YJL019W
Protein-Protein Interaction	YMR117C	YKL079W
Protein-Protein Interaction	YMR117C	YKR054C
Protein-Protein Interaction	YMR117C	YLR319C
Protein-Protein Interaction	YMR117C	YLR419W
Protein-Protein Interaction	YMR117C	YML049C
Protein-Protein Interaction	YMR120C	YER125W
Protein-Protein Interaction	YMR120C	YFR040W
Protein-Protein Interaction	YMR120C	YIL030C
Protein-Protein Interaction	YMR120C	YLR028C
Protein-Protein Interaction	YMR120C	YML086C
Protein-Protein Interaction	YMR123W	YLR064W
Protein-Protein Interaction	YMR124W	YAL059W
Protein-Protein Interaction	YMR124W	YGR218W
Protein-Protein Interaction	YMR125W	YDL175C
Protein-Protein Interaction	YMR125W	YDR138W
Protein-Protein Interaction	YMR125W	YDR240C
Protein-Protein Interaction	YMR125W	YDR432W
Protein-Protein Interaction	YMR125W	YER165W
Protein-Protein Interaction	YMR125W	YKL139W
Protein-Protein Interaction	YMR125W	YLR226W
Protein-Protein Interaction	YMR127C	YBR009C
Protein-Protein Interaction	YMR127C	YDR181C
Protein-Protein Interaction	YMR127C	YJL115W
Protein-Protein Interaction	YMR192W	YDR388W
Protein-Protein Interaction	YMR128W	YDL197C
Protein-Protein Interaction	YMR129W	YBL079W
Protein-Protein Interaction	YMR129W	YBR160W
Protein-Protein Interaction	YMR129W	YDL088C
Protein-Protein Interaction	YMR129W	YER105C
Protein-Protein Interaction	YMR129W	YFR002W
Protein-Protein Interaction	YMR129W	YGL092W
Protein-Protein Interaction	YMR129W	YGL172W
Protein-Protein Interaction	YMR129W	YGR119C
Protein-Protein Interaction	YMR129W	YGR128C
Protein-Protein Interaction	YMR129W	YJL039C
Protein-Protein Interaction	YMR129W	YJL061W
Protein-Protein Interaction	YMR129W	YKL068W
Protein-Protein Interaction	YMR129W	YLR018C
Protein-Protein Interaction	YMR129W	YML031W
Protein-Protein Interaction	YMR129W	YML103C
Protein-Protein Interaction	YMR129W	YMR047C
Protein-Protein Interaction	YMR131C	YJL070C
Protein-Protein Interaction	YMR133W	YJR021C
Protein-Protein Interaction	YMR134W	YJL117W
Protein-Protein Interaction	YMR135C	YCL039W
Protein-Protein Interaction	YMR135C	YDR255C
Protein-Protein Interaction	YMR135C	YGL227W
Protein-Protein Interaction	YMR135C	YIL017C
Protein-Protein Interaction	YMR135C	YIL097W
Protein-Protein Interaction	YMR139W	YER099C
Protein-Protein Interaction	YMR139W	YHL011C
Protein-Protein Interaction	YMR139W	YJR094C
Protein-Protein Interaction	YMR139W	YKR048C
Protein-Protein Interaction	YMR140W	YCL027W
Protein-Protein Interaction	YMR140W	YDR477W
Protein-Protein Interaction	YMR140W	YER133W
Protein-Protein Interaction	YMR140W	YGL087C
Protein-Protein Interaction	YMR140W	YJR059W
Protein-Protein Interaction	YMR143W	YKL082C
Protein-Protein Interaction	YMR144W	YGR142W
Protein-Protein Interaction	YMR145C	YKR016W
Protein-Protein Interaction	YMR146C	YBR079C
Protein-Protein Interaction	YMR146C	YDR429C
Protein-Protein Interaction	YMR146C	YER125W
Protein-Protein Interaction	YMR146C	YIL030C
Protein-Protein Interaction	YMR146C	YJL002C
Protein-Protein Interaction	YMR146C	YJR017C
Protein-Protein Interaction	YMR146C	YKL012W
Protein-Protein Interaction	YMR149W	YBL105C
Protein-Protein Interaction	YMR149W	YDL212W
Protein-Protein Interaction	YMR149W	YDL232W
Protein-Protein Interaction	YMR149W	YDR086C
Protein-Protein Interaction	YMR149W	YGL022W
Protein-Protein Interaction	YMR149W	YIL108W
Protein-Protein Interaction	YMR149W	YJL002C
Protein-Protein Interaction	YMR149W	YLR378C
Protein-Protein Interaction	YMR149W	YML019W
Protein-Protein Interaction	YMR150C	YEL059C-A
Protein-Protein Interaction	YMR153W	YBL079W
Protein-Protein Interaction	YMR153W	YDL088C
Protein-Protein Interaction	YMR153W	YDL116W
Protein-Protein Interaction	YMR153W	YER105C
Protein-Protein Interaction	YMR153W	YFR002W
Protein-Protein Interaction	YMR153W	YGL086W
Protein-Protein Interaction	YMR153W	YGL092W
Protein-Protein Interaction	YMR153W	YJL039C
Protein-Protein Interaction	YMR153W	YKL117W
Protein-Protein Interaction	YMR153W	YLL039C
Protein-Protein Interaction	YMR153W	YLR347C
Protein-Protein Interaction	YMR153W	YML031W
Protein-Protein Interaction	YMR153W	YMR047C
Protein-Protein Interaction	YMR154C	YLR025W
Protein-Protein Interaction	YMR158W	YHL004W
Protein-Protein Interaction	YMR163C	YDL065C
Protein-Protein Interaction	YMR164C	YER109C
Protein-Protein Interaction	YMR164C	YHR084W
Protein-Protein Interaction	YMR165C	YBR160W
Protein-Protein Interaction	YMR165C	YGR092W
Protein-Protein Interaction	YMR167W	YDR510W
Protein-Protein Interaction	YMR167W	YLR035C
Protein-Protein Interaction	YMR168C	YDR328C
Protein-Protein Interaction	YMR168C	YGR140W
Protein-Protein Interaction	YMR168C	YGR179C
Protein-Protein Interaction	YMR168C	YJR060W
Protein-Protein Interaction	YMR168C	YMR094W
Protein-Protein Interaction	YMR186W	YDL229W
Protein-Protein Interaction	YMR170C	YKL100C
Protein-Protein Interaction	YMR170C	YLR143W
Protein-Protein Interaction	YMR170C	YMR169C
Protein-Protein Interaction	YMR171C	YER125W
Protein-Protein Interaction	YMR171C	YLL039C
Protein-Protein Interaction	YMR172W	YKL088W
Protein-Protein Interaction	YMR174C	YFL010C
Protein-Protein Interaction	YMR174C	YJL168C
Protein-Protein Interaction	YMR174C	YJR017C
Protein-Protein Interaction	YMR174C	YKL012W
Protein-Protein Interaction	YMR180C	YGR218W
Protein-Protein Interaction	YMR182C	YER125W
Protein-Protein Interaction	YMR183C	YAL030W
Protein-Protein Interaction	YMR183C	YDR164C
Protein-Protein Interaction	YMR183C	YLR268W
Protein-Protein Interaction	YMR184W	YGR092W
Protein-Protein Interaction	YMR186W	YAL005C
Protein-Protein Interaction	YMR186W	YBR155W
Protein-Protein Interaction	YMR186W	YCR060W
Protein-Protein Interaction	YMR186W	YDR168W
Protein-Protein Interaction	YMR186W	YDR214W
Protein-Protein Interaction	YMR186W	YDR510W
Protein-Protein Interaction	YMR186W	YHR102W
Protein-Protein Interaction	YMR186W	YJR032W
Protein-Protein Interaction	YMR186W	YKL117W
Protein-Protein Interaction	YMR186W	YLL024C
Protein-Protein Interaction	YMR186W	YLR216C
Protein-Protein Interaction	YMR186W	YLR362W
Protein-Protein Interaction	YMR186W	YML057W
Protein-Protein Interaction	YMR187C	YLR320W
Protein-Protein Interaction	YMR188C	YDR041W
Protein-Protein Interaction	YMR188C	YHL004W
Protein-Protein Interaction	YMR190C	YAR007C
Protein-Protein Interaction	YMR190C	YDR510W
Protein-Protein Interaction	YMR190C	YHR154W
Protein-Protein Interaction	YMR190C	YJL092W
Protein-Protein Interaction	YMR190C	YLR045C
Protein-Protein Interaction	YMR190C	YMR167W
Protein-Protein Interaction	YMR192W	YCR009C
Protein-Protein Interaction	YMR192W	YGR136W
Protein-Protein Interaction	YMR192W	YHR016C
Protein-Protein Interaction	YMR194W	YKL117W
Protein-Protein Interaction	YMR196W	YDR017C
Protein-Protein Interaction	YMR196W	YER125W
Protein-Protein Interaction	YMR196W	YJL164C
Protein-Protein Interaction	YMR196W	YKL012W
Protein-Protein Interaction	YMR197C	YAL014C
Protein-Protein Interaction	YMR197C	YBL050W
Protein-Protein Interaction	YMR197C	YDL077C
Protein-Protein Interaction	YMR197C	YDR080W
Protein-Protein Interaction	YMR197C	YEL013W
Protein-Protein Interaction	YMR197C	YJR125C
Protein-Protein Interaction	YMR197C	YLR026C
Protein-Protein Interaction	YMR197C	YLR093C
Protein-Protein Interaction	YMR197C	YLR148W
Protein-Protein Interaction	YMR197C	YLR396C
Protein-Protein Interaction	YMR199W	YBR160W
Protein-Protein Interaction	YMR199W	YHL007C
Protein-Protein Interaction	YMR199W	YJL157C
Protein-Protein Interaction	YMR199W	YLL039C
Protein-Protein Interaction	YMR200W	YBR109C
Protein-Protein Interaction	YMR200W	YJL034W
Protein-Protein Interaction	YMR201C	YBR114W
Protein-Protein Interaction	YMR201C	YEL037C
Protein-Protein Interaction	YMR201C	YHR144C
Protein-Protein Interaction	YMR201C	YML095C
Protein-Protein Interaction	YMR202W	YGL001C
Protein-Protein Interaction	YMR203W	YAL010C
Protein-Protein Interaction	YMR203W	YDR470C
Protein-Protein Interaction	YMR203W	YGR033C
Protein-Protein Interaction	YMR203W	YGR082W
Protein-Protein Interaction	YMR203W	YKL195W
Protein-Protein Interaction	YMR203W	YKR016W
Protein-Protein Interaction	YMR203W	YMR060C
Protein-Protein Interaction	YMR204C	YDR329C
Protein-Protein Interaction	YMR205C	YER125W
Protein-Protein Interaction	YMR205C	YGR252W
Protein-Protein Interaction	YMR205C	YIL030C
Protein-Protein Interaction	YMR205C	YKL012W
Protein-Protein Interaction	YMR212C	YGR198W
Protein-Protein Interaction	YMR213W	YAL032C
Protein-Protein Interaction	YMR213W	YBR065C
Protein-Protein Interaction	YMR213W	YBR188C
Protein-Protein Interaction	YMR213W	YCR063W
Protein-Protein Interaction	YMR213W	YDL209C
Protein-Protein Interaction	YMR213W	YDR364C
Protein-Protein Interaction	YMR213W	YDR416W
Protein-Protein Interaction	YMR213W	YDR482C
Protein-Protein Interaction	YMR213W	YER013W
Protein-Protein Interaction	YMR213W	YER029C
Protein-Protein Interaction	YMR213W	YER172C
Protein-Protein Interaction	YMR213W	YGL128C
Protein-Protein Interaction	YMR213W	YGR129W
Protein-Protein Interaction	YMR213W	YGR278W
Protein-Protein Interaction	YMR213W	YHR165C
Protein-Protein Interaction	YMR213W	YJR050W
Protein-Protein Interaction	YMR213W	YKL095W
Protein-Protein Interaction	YMR213W	YKL173W
Protein-Protein Interaction	YMR213W	YKR022C
Protein-Protein Interaction	YMR213W	YLR117C
Protein-Protein Interaction	YMR213W	YLR147C
Protein-Protein Interaction	YMR213W	YLR275W
Protein-Protein Interaction	YMR213W	YLR424W
Protein-Protein Interaction	YMR213W	YML049C
Protein-Protein Interaction	YMR214W	YAR002C-A
Protein-Protein Interaction	YMR214W	YJL034W
Protein-Protein Interaction	YMR216C	YCL011C
Protein-Protein Interaction	YMR216C	YDR432W
